,kon,year,nedskrapning,skadegorelse,berusade_personer_utomhus,narkotikapaverkade_personer_utomhus,bostader_tillhall_for_alkoholmissbrukare,bostader_tillhall_for_narkotikamissbrukare,observerat_narkotikaforsaljning_i_omradet,folk_brakar_och_slass_utomhus,kvinnor_antastas,ungdomsgang_brakar_och_stor_ordningen,bilarna_kor_for_fort,buskorning_med_mopeder_mc,trafikregler_respekteras_inte,under_sen_12_man_varit_utsatt_for_fysiskt_vald,utsatt_for_stold,utsatts_for_skadegorelse,andel_utsatts_for_minst_ett_mangdbrott,utsatts_for_bedrageri,utsatts_for_hot,andel_inte_varit_utsatt_for_nagot_som_helst_brott,anmalningsgrad,att_du_oroat_dig_for_inbrott_i_bostaden,att_du_oroat_dig_for_inbrott_i_forrad,oro_for_att_din_bil_mc_moped_eller_cykel_,oro_for_overfallen/misshandlad_i_omradet,andel_varit_orolig_for_nagon_typ_av_brott,trygg_ute_ensam_sen_kvall,otrygg_ute_ensam_sen_kvall,radd_for_speciella_personer_i_egna_bostadsomradet_,restaurang_bar_eller_disco,sportevenemang,foreningsmoten_kurser_och_liknande,åka_buss_eller_tag,andel_avstatt_fran_nagon_typ_av_aktivitet,polisen_bryr_sig_om_de_lokala_problemen,polisen_bryr_sig_inte_om_de_lokala_problemen,relationskvot,boende_skulle_ej_agera_vid_slagsmal,svag_sammanhallning_i_bostadsomradet
0,Annat,2024,46.93,35.63,21.56,12.28,7.08,11.29,14.83,15.66,8.39,29.61,45.32,33.82,33.05,5.49,7.29,14.65,23.69,11.06,9.86,68.54,15.21,48.09,45.11,53.29,32.44,70.8,50.8,28.95,21.71,17.36,14.02,8.17,24.31,29.88,36.8,22.0,59.77,32.26,27.39
1,Annat,2023,53.05,37.31,24.57,21.71,15.73,19.04,19.23,17.42,10.49,30.63,43.5,31.51,37.69,8.4,14.09,10.29,20.18,6.73,21.54,71.99,38.64,47.96,49.72,52.79,35.28,67.09,49.96,35.56,23.23,17.4,10.04,9.09,24.87,28.29,37.47,28.63,76.42,22.51,23.23
2,Annat,2022,50.55,33.45,18.25,14.73,4.04,6.9,13.93,17.6,18.11,28.1,33.25,23.36,30.54,3.89,14.39,9.76,22.04,9.71,5.04,61.4,15.24,43.52,54.5,65.38,43.23,77.08,47.36,35.16,20.01,26.74,18.55,9.69,32.81,38.51,34.54,24.48,70.87,31.97,42.02
3,Annat,2021,58.13,50.35,30.92,26.72,17.79,15.53,22.58,32.55,21.81,47.97,55.66,40.54,41.61,11.67,15.7,14.47,28.32,14.21,16.49,64.4,16.72,48.45,47.13,52.21,47.44,71.87,44.15,44.97,23.56,21.27,9.16,7.46,25.94,31.88,41.34,31.56,76.33,26.24,23.28
4,Annat,2020,61.8,44.61,40.79,34.66,22.57,27.21,34.21,33.1,34.97,53.79,48.27,33.76,41.64,12.97,20.85,10.61,27.9,10.16,24.09,52.04,30.99,47.6,48.44,59.19,50.18,76.76,34.53,49.02,35.27,22.63,13.22,16.33,33.12,34.76,38.39,39.16,102.01,34.62,24.44
6,Annat,2019,62.05,42.22,30.48,23.13,15.49,14.99,,24.42,15.92,35.49,56.59,43.09,44.03,6.15,12.58,13.54,23.56,8.48,20.72,70.19,22.41,51.49,48.92,54.21,39.58,74.48,40.59,39.72,22.62,19.89,8.69,11.36,21.56,32.61,44.86,23.52,52.45,21.1,30.49
7,Annat,2018,60.14,46.29,21.78,24.12,14.72,16.11,,21.79,24.86,37.99,57.0,27.39,38.62,17.18,31.15,18.56,48.78,16.05,41.02,38.97,22.51,51.48,63.56,62.34,45.71,79.25,48.82,35.97,33.83,31.69,4.79,6.86,13.54,36.08,29.12,35.75,122.78,29.27,43.52
8,Annat,2017,42.64,32.82,41.4,34.95,21.04,21.03,,23.13,10.25,24.55,44.83,36.39,21.46,9.81,28.48,20.08,41.06,17.55,22.71,43.86,53.45,59.48,59.73,62.57,35.75,76.34,39.55,19.37,21.32,5.45,5.65,9.35,13.98,22.43,34.37,26.06,75.83,28.12,35.57
9,Annat,2016,40.62,38.61,23.82,18.24,22.63,19.29,,23.27,16.53,23.48,41.28,13.53,26.88,12.59,13.96,15.16,23.24,11.72,16.55,56.37,46.72,36.55,40.62,49.34,46.98,69.36,38.06,36.71,21.99,11.84,11.44,7.38,14.42,22.42,22.4,31.47,140.48,,
11,Annat,2015,56.2,35.75,32.96,15.16,19.56,10.67,,29.07,36.81,44.84,33.44,25.08,27.32,18.54,36.87,22.96,38.78,20.3,23.85,42.79,55.71,65.83,50.51,61.85,37.03,87.09,61.46,36.64,46.4,18.06,19.34,15.59,26.84,32.0,38.25,20.29,53.04,,
0,Kvinna,2024,36.12,30.43,14.16,13.23,6.68,7.58,9.74,9.56,6.69,19.85,47.43,26.01,24.52,0.86,6.87,5.73,11.46,4.61,3.71,79.06,36.33,44.44,44.27,49.44,27.35,66.99,55.88,29.31,9.59,7.68,3.95,2.94,10.75,15.15,46.33,8.47,18.29,16.22,11.27
1,Kvinna,2023,37.25,31.04,14.11,13.67,6.89,7.79,10.45,9.87,7.56,20.88,48.98,24.35,25.89,0.74,7.22,5.92,11.85,4.38,3.94,79.46,37.61,46.49,45.75,50.98,28.72,68.85,53.89,31.14,9.78,6.67,3.63,3.01,11.6,15.46,46.96,8.86,18.87,15.27,11.34
2,Kvinna,2022,39.62,33.63,15.87,14.19,6.85,7.69,10.06,11.67,9.58,22.62,49.4,25.71,26.34,0.84,7.78,6.23,12.62,3.77,4.4,78.32,36.54,48.27,46.38,53.41,30.97,70.93,52.69,32.48,10.69,7.41,3.29,3.09,12.95,16.71,46.7,10.02,21.45,15.91,11.58
