,municipality,year,nedskrapning,skadegorelse,berusade_personer_utomhus,narkotikapaverkade_personer_utomhus,bostader_tillhall_for_alkoholmissbrukare,bostader_tillhall_for_narkotikamissbrukare,observerat_narkotikaforsaljning_i_omradet,folk_brakar_och_slass_utomhus,kvinnor_antastas,ungdomsgang_brakar_och_stor_ordningen,bilarna_kor_for_fort,buskorning_med_mopeder_mc,trafikregler_respekteras_inte,under_sen_12_man_varit_utsatt_for_fysiskt_vald,utsatt_for_stold,utsatts_for_skadegorelse,andel_utsatts_for_minst_ett_mangdbrott,utsatts_for_bedrageri,utsatts_for_hot,andel_inte_varit_utsatt_for_nagot_som_helst_brott,anmalningsgrad,att_du_oroat_dig_for_inbrott_i_bostaden,att_du_oroat_dig_for_inbrott_i_forrad,oro_for_att_din_bil_mc_moped_eller_cykel_,oro_for_overfallen/misshandlad_i_omradet,andel_varit_orolig_for_nagon_typ_av_brott,trygg_ute_ensam_sen_kvall,otrygg_ute_ensam_sen_kvall,radd_for_speciella_personer_i_egna_bostadsomradet_,restaurang_bar_eller_disco,sportevenemang,foreningsmoten_kurser_och_liknande,åka_buss_eller_tag,andel_avstatt_fran_nagon_typ_av_aktivitet,polisen_bryr_sig_om_de_lokala_problemen,polisen_bryr_sig_inte_om_de_lokala_problemen,relationskvot,boende_skulle_ej_agera_vid_slagsmal,svag_sammanhallning_i_bostadsomradet
0,Helsinborg,2024,40.17,35.35,16.86,18.44,7.96,9.84,18.69,11.36,6.82,23.68,50.83,33.23,29.42,1.34,9.34,7.56,15.12,5.2,5.36,74.59,36.29,41.64,47.3,54.58,30.69,70.29,54.32,31.64,10.42,10.63,7.37,3.33,13.7,21.11,53.56,10.96,20.47,21.65,14.33
1,Helsinborg,2023,42.11,39.27,16.53,18.59,8.28,10.0,18.28,12.72,7.97,28.23,51.63,33.07,31.35,1.35,9.59,8.79,16.18,4.67,5.31,74.09,37.86,42.27,47.51,54.89,31.86,70.48,53.93,31.76,10.9,9.4,7.35,3.4,14.02,20.47,53.98,11.24,20.83,19.76,14.55
2,Helsinborg,2022,42.81,43.41,15.21,13.94,5.72,6.72,16.82,13.95,8.16,30.95,54.8,36.37,35.92,0.77,10.87,8.45,16.55,3.85,7.27,73.38,36.77,49.19,51.25,57.97,33.95,73.54,48.78,33.59,10.21,11.09,7.37,3.56,15.63,22.61,51.26,11.97,23.35,22.58,15.45
3,Helsinborg,2021,43.09,41.39,19.36,21.74,7.18,10.74,20.72,17.08,10.05,31.35,56.43,38.84,37.04,0.41,14.24,9.22,19.12,4.97,8.79,73.11,39.54,45.33,50.23,57.68,33.04,73.58,50.3,33.97,11.37,9.37,6.49,3.56,15.33,20.3,54.6,14.74,27.0,21.27,12.49
4,Helsinborg,2020,45.01,40.28,19.22,21.68,10.03,10.77,16.98,13.28,10.18,30.67,58.85,36.39,35.2,0.69,11.03,8.27,16.79,4.86,5.14,73.24,39.05,46.09,52.24,58.77,33.98,76.03,46.67,36.16,11.21,10.55,5.18,3.4,16.22,21.16,49.56,13.01,26.24,22.88,16.42
6,Helsinborg,2019,39.23,39.32,19.06,19.13,8.44,10.01,,14.03,11.01,26.64,59.54,34.85,40.55,1.37,9.94,10.61,18.66,6.24,4.84,71.79,33.07,48.88,54.95,57.55,36.09,72.85,51.92,33.41,9.92,10.12,7.48,4.04,12.76,20.4,50.19,12.99,25.88,19.87,17.27
7,Helsinborg,2018,41.83,37.43,18.61,19.96,7.94,9.83,,14.77,9.35,28.26,55.28,36.85,34.08,1.83,13.75,11.65,21.79,5.45,5.73,70.28,37.85,51.11,56.78,56.78,37.97,77.03,49.16,39.34,14.29,8.84,9.38,4.06,15.08,25.07,51.27,13.1,25.55,21.18,16.79
8,Helsinborg,2017,45.63,39.78,19.38,17.65,8.07,9.16,,15.53,12.72,34.01,52.67,36.93,35.04,2.25,16.45,12.04,25.36,7.08,6.82,65.96,43.46,53.99,56.18,61.39,37.04,78.54,45.79,40.5,14.35,11.47,13.57,6.11,17.92,28.06,43.86,15.23,34.73,22.59,17.18
9,Helsinborg,2016,42.09,40.93,22.05,17.86,8.89,9.9,,15.86,8.97,32.46,53.38,38.0,35.56,1.36,13.61,11.35,20.35,5.35,7.43,69.15,38.41,53.25,51.99,59.67,41.95,77.59,44.98,39.21,14.01,10.77,12.34,4.86,13.72,25.94,47.22,15.32,32.45,,
10,Helsinborg,2015,36.73,36.66,15.62,12.53,6.21,6.2,,9.81,6.07,18.73,45.73,32.1,23.44,1.82,14.56,13.56,25.42,6.09,5.56,69.6,45.26,48.38,53.46,55.22,33.11,75.28,57.9,28.66,8.1,6.57,8.52,3.88,10.21,19.97,48.62,11.1,22.83,,
11,Helsinborg,2013,39.01,34.14,16.9,9.79,5.36,4.58,,9.87,7.19,21.01,44.69,30.6,27.55,1.25,8.64,9.97,15.95,4.18,6.78,71.82,37.4,40.17,41.19,48.52,26.28,66.47,59.6,25.14,6.53,6.05,5.87,2.44,8.69,14.5,36.48,15.89,43.55,,
12,Helsinborg,2012,41.1,37.88,16.46,11.33,7.39,7.7,,10.5,7.11,21.41,46.12,31.5,22.47,1.7,16.51,11.48,24.91,,,69.65,44.35,44.62,45.28,53.35,27.8,71.68,53.03,30.36,6.92,5.05,3.6,3.56,9.34,15.28,43.84,12.47,28.44,,
13,Helsinborg,2011,37.78,45.52,17.76,11.06,5.39,5.73,,12.5,5.29,25.15,48.65,38.5,28.69,2.49,16.22,8.71,24.4,,,65.14,41.77,49.54,46.14,55.46,27.7,72.4,61.48,28.96,10.89,7.35,6.38,2.43,9.46,16.92,40.43,12.66,31.32,,
14,Helsinborg,2010,39.17,44.91,15.78,11.52,4.96,4.45,,8.19,6.11,23.81,41.77,28.72,20.67,1.76,13.56,13.79,22.18,,,70.26,34.12,44.66,47.21,57.55,30.34,74.55,55.37,28.19,7.5,6.14,5.72,3.21,9.6,15.86,42.63,14.24,33.41,,
15,Helsinborg,2009,40.42,40.97,17.17,10.05,6.85,5.42,,8.38,4.31,17.54,44.4,38.02,27.58,5.01,14.44,15.03,27.01,,,66.71,41.62,52.31,48.36,59.51,36.01,77.14,52.82,31.25,8.99,7.48,5.73,2.79,6.37,16.64,44.92,14.09,31.37,,
16,Helsinborg,2008,42.61,48.88,18.12,11.35,8.66,7.22,,12.15,7.1,30.11,42.86,38.06,27.58,3.33,18.56,19.96,30.84,,,,,49.41,55.77,62.32,38.3,81.92,47.36,36.33,9.87,8.79,2.56,3.2,10.07,17.43,41.02,18.43,44.93,,
17,Helsinborg,2007,40.97,48.3,24.85,15.25,10.99,10.38,,16.44,10.21,29.66,48.88,43.68,26.18,3.21,19.22,19.25,33.33,,,,,53.09,53.25,58.88,29.27,76.96,56.77,29.66,10.2,6.54,4.77,2.36,9.43,16.15,38.04,14.66,38.54,,
0,Kristiansstad,2024,34.96,34.14,13.22,16.06,8.7,10.96,14.18,9.33,5.87,20.3,49.74,27.2,26.95,0.87,9.4,6.32,14.13,6.59,5.73,74.68,33.75,41.36,45.11,48.65,24.44,64.21,62.97,24.13,10.43,11.68,3.38,2.97,12.84,17.17,48.14,9.7,20.16,17.42,11.79
1,Kristiansstad,2023,35.47,29.42,10.91,15.38,8.74,9.55,14.03,9.89,7.26,20.8,47.9,21.82,26.85,0.79,5.98,6.09,11.02,3.76,4.5,79.39,42.56,42.63,41.25,50.2,24.24,65.5,59.43,28.31,10.09,9.84,4.55,3.01,14.93,20.68,48.84,10.23,20.94,16.04,9.88
2,Kristiansstad,2022,40.11,38.29,18.03,19.61,8.69,9.85,16.14,14.38,8.29,28.95,54.81,29.7,28.58,1.7,9.42,7.84,15.63,4.83,6.4,75.66,35.0,48.75,49.46,55.14,31.92,71.39,50.97,33.72,12.24,13.06,6.9,4.82,16.5,22.86,50.72,13.45,26.53,19.95,11.52
3,Kristiansstad,2021,42.7,38.34,17.07,17.84,6.03,9.4,14.96,13.15,8.72,27.31,52.74,27.28,29.0,1.17,8.14,6.4,13.44,4.46,5.62,77.31,43.2,47.39,46.51,51.12,30.87,68.01,52.76,35.1,9.08,15.48,5.71,5.93,18.65,23.71,50.34,14.09,28.0,17.42,11.34
4,Kristiansstad,2020,42.66,33.86,21.46,21.32,11.07,13.52,19.59,14.69,11.35,26.58,53.74,25.59,32.17,1.37,11.16,7.8,16.33,3.17,5.66,74.56,33.65,46.3,48.5,57.92,33.08,72.67,47.29,36.66,11.33,12.95,4.82,5.47,14.44,20.18,49.16,12.41,25.24,20.31,16.22
6,Kristiansstad,2019,41.37,34.67,16.0,16.32,7.47,10.14,,12.5,8.84,26.26,55.91,32.11,30.41,1.03,10.32,7.59,14.79,4.25,5.56,75.75,32.63,53.13,54.05,53.78,33.58,71.34,55.89,32.04,11.76,13.0,3.06,4.13,14.94,20.51,45.21,13.82,30.57,15.24,10.44
7,Kristiansstad,2018,36.14,32.1,14.26,14.55,6.78,8.63,,12.95,7.9,23.91,52.99,31.17,28.12,1.31,12.13,7.86,16.08,4.62,4.71,73.53,30.28,51.33,48.81,56.48,30.14,71.58,56.23,31.02,9.81,7.71,3.66,3.37,12.02,16.89,47.88,12.54,26.19,18.0,10.89
8,Kristiansstad,2017,35.64,30.51,12.99,14.22,6.96,8.11,,10.8,8.92,18.89,52.82,24.6,26.79,1.14,9.82,7.14,15.97,5.66,6.01,74.34,39.93,50.38,51.08,51.67,31.09,71.74,54.11,31.87,10.45,9.89,4.2,4.25,12.91,19.36,43.78,13.18,30.1,16.39,9.9
9,Kristiansstad,2016,36.23,32.34,16.42,12.59,7.7,9.7,,11.51,8.99,24.94,51.17,18.14,24.44,1.0,12.33,8.23,17.11,3.45,5.77,73.02,41.16,52.1,50.13,51.0,29.28,68.71,54.51,31.41,9.97,9.04,3.97,5.44,13.01,18.17,41.66,17.85,42.85,,
10,Kristiansstad,2015,28.94,24.95,12.96,9.33,5.08,4.95,,7.36,6.35,15.42,47.33,16.61,22.93,0.31,9.51,8.58,15.5,4.84,5.28,75.56,37.7,56.96,51.5,53.35,23.48,72.33,67.66,19.46,7.16,2.77,3.63,3.47,6.56,10.13,41.27,7.95,19.26,,
11,Kristiansstad,2013,31.77,27.36,14.48,9.88,5.55,5.39,,8.74,4.95,15.96,44.13,20.78,18.77,0.65,12.59,6.86,18.3,3.78,3.13,73.33,44.15,45.39,40.84,43.35,19.88,64.46,67.67,18.89,6.04,3.31,1.16,1.49,6.41,9.39,38.08,11.8,30.98,,
12,Kristiansstad,2012,31.78,29.2,12.38,6.34,3.42,4.46,,4.14,2.25,15.3,49.03,24.94,22.52,1.73,11.87,9.65,18.07,,,72.33,48.2,50.24,42.38,48.4,22.91,69.7,66.28,20.85,6.07,4.82,1.9,2.25,7.37,10.83,44.61,17.0,38.11,,
13,Kristiansstad,2011,36.32,31.47,13.66,7.83,4.52,5.65,,8.42,4.95,19.5,41.37,18.91,20.34,1.6,11.64,6.67,17.16,,,72.11,48.89,50.89,47.05,48.19,18.78,72.31,65.52,20.96,7.34,3.32,1.45,1.31,6.07,8.1,41.82,11.19,26.76,,
14,Kristiansstad,2010,35.59,34.35,17.01,10.52,6.92,10.09,,9.95,5.89,23.36,53.69,26.58,25.07,1.65,11.75,8.12,18.81,,,71.89,36.7,50.94,49.64,50.41,25.24,69.46,64.86,24.67,10.49,3.45,1.2,3.17,9.91,11.87,49.51,12.14,24.52,,
15,Kristiansstad,2009,30.78,32.36,16.02,9.61,6.66,6.98,,11.62,4.65,22.09,48.87,27.44,21.48,3.64,10.75,11.22,20.06,,,73.71,35.5,52.18,45.81,51.96,20.97,69.82,64.37,21.27,5.15,5.09,2.76,2.48,8.68,12.34,47.12,12.18,25.84,,
16,Kristiansstad,2008,29.23,42.14,19.58,11.72,6.97,7.57,,11.87,6.68,30.27,51.63,30.42,23.59,1.19,14.09,11.57,21.36,,,,,55.49,51.04,53.71,23.74,72.4,57.86,24.48,7.85,6.23,2.82,2.08,11.13,14.84,40.06,12.31,30.74,,
17,Kristiansstad,2007,32.5,37.5,17.08,7.92,6.25,7.92,,10.0,5.83,26.25,48.33,32.5,23.75,2.92,13.33,12.92,22.08,,,,,43.33,41.67,51.67,19.58,65.83,62.92,19.17,5.02,4.17,1.25,1.25,5.0,8.33,46.25,13.33,28.83,,
0,LandsKrona,2024,37.05,26.67,12.74,11.89,5.68,6.35,6.23,8.89,5.89,18.69,51.55,23.92,29.37,1.35,8.35,6.7,13.65,5.47,3.95,73.83,31.93,34.77,39.75,46.33,20.29,59.99,63.51,22.09,6.68,7.78,6.16,2.98,8.87,14.74,51.81,7.76,14.98,17.11,11.3
1,LandsKrona,2023,36.67,31.29,9.88,10.23,4.85,5.52,7.37,8.68,5.63,18.61,52.01,24.66,29.15,1.7,10.71,7.65,16.18,4.77,5.08,75.25,38.78,40.99,43.52,48.25,20.81,66.47,58.69,25.43,5.95,6.59,5.66,3.42,9.52,15.09,50.74,9.77,19.25,18.88,9.78
2,LandsKrona,2022,41.34,36.99,15.3,13.69,7.22,7.36,8.48,12.62,8.94,24.11,51.04,27.69,29.79,1.19,10.14,8.29,16.83,4.45,4.78,73.55,33.03,43.76,45.36,55.14,25.3,68.87,56.56,27.15,8.59,7.8,3.95,3.38,11.4,16.61,52.01,10.85,20.86,18.9,12.73
