PO;Year;Littering;Vandalism;Drunken people. outdoors;People under the influence of drugs. outdoors;Residences. hangouts for alcohol abusers;Residences. hangouts for drug abusers;People arguing and fighting. outdoors;Women being assaulted;Youth gangs arguing and disturbing the peace;Cars driving too fast;Bus driving with mopeds. motorbikes;Traffic rules not respected;Proportion perceived at least one problem;In the last 12 months been subjected to physical violence;Victimized by theft;Victimized by vandalism;Proportion subjected to at least one mass crime;That you were worried about burglary in your home;That you were worried about burglary in your storage room;Worried about your car. motorbike. moped or bicycle;Worried about being assaulted/abused in area;Proportion worried about some type of crime;Safe out alone late at night;Unsafe out alone late at night;Afraid of specific people in own residential area;Restaurant. bar or disco;Sporting events;Association meetings. courses and the like;Riding the bus or train;Proportion abstained from some type of activity;The police care about local problems;The police do NOT care about local problems;Relationship quota;Proportion not subjected to any crime whatsoever;Reporting rate;Victimized by fraud;Victimized by threats;Residents would NOT act in the event of a fight;Weak cohesion in the residential area;Nearly drug sales observed in the area
Malmö;2024;43.65;35.12;18.31;18.39;7.47;10.17;15.27;8.51;26.41;48.91;26.51;31.19;77.1;1.37;11.74;8.5;18.04;37.46;45.26;56.83;32.5;71.31;59.02;27.93;10.88;8.74;6.75;3.21;11.36;17.17;56.9;10.04;17.65;74.82;37.24;5;5.36;21.59;16.02;19.19
Malmö;2023;47.61;37.04;17.84;18.85;7.49;9.76;13.33;8.91;25.33;49.82;26.89;31.69;77.46;1.38;12.49;8.92;19.25;39.67;46.13;58.09;31.48;72.72;59.21;28.7;10.89;6.86;5.2;3.04;11.53;16.56;52.86;11.65;22.03;71.92;36.1;5.46;5.1;20.96;16.88;20.27
Malmö;2022;47.42;38.44;19.9;20.9;7.94;9.16;16.86;13.11;29.93;48.42;26.21;32.4;79.01;1.25;12.29;9.68;19.26;39.75;44.86;61.18;35.49;73.81;56.15;31.59;11.81;8.97;4.6;3.58;13.7;18;55.69;11.71;21.03;71.12;36.47;6.3;5.89;20.73;16.81;20.59
Malmö;2021;48.22;37.13;19.24;19.71;8.5;10;14.86;11.44;28.26;46.74;26.98;32.65;77.37;1.63;11.44;8.63;17.96;40.54;44.82;57.98;34.67;71.81;53.29;32.52;10.82;8.38;4.14;2.97;13.68;17.19;54;11.34;21;74.53;36.47;6.11;6.15;21.25;16.19;20.87
Malmö;2020_2;48.42;38.04;18.34;18.94;7.65;8.93;14.78;11.69;27.57;50.19;30.04;33.08;77.97;1.57;12.28;10.38;19.87;41.85;45.97;58.02;37.63;73.48;52.08;33.45;10.13;9.49;4.96;4.81;14.44;18.91;54.37;10.76;19.79;70.2;37.57;5.78;6.6;21.34;16.12;19.86
Malmö;2020_1;46.39;37.22;17.46;19.78;8.1;10.7;13.85;11.28;26.14;46.32;19.78;31.73;76.49;1.54;11.61;9.43;18.78;43.35;47.3;56.47;37.99;72.94;52.11;34.82;10.36;9.15;4.73;4.03;13.12;18.49;57.17;10.24;17.91;70.53;37.01;5.16;5.39;22.1;19.35;20.86
Malmö;2019;47.15;39.31;20.91;22.75;8.88;11.64;17.83;12.9;29.8;52.06;28.34;35.1;81.06;1.6;13.59;9.35;20.14;43.92;48.98;58.33;38.81;74.45;51.24;35.18;13.24;9.93;5.52;4.61;12.29;17.72;53.63;12.15;22.66;71.77;38.17;5.66;5.88;20.59;18.45;
Malmö;2018;48.09;40.81;19.31;21.58;9.1;11.19;16.62;13.78;28.92;51.89;27.66;35.83;82.18;2.17;12.45;10.64;21;46.52;49.74;59.55;39.39;75.4;50.46;37.35;12.66;9.64;5.09;3.81;13.16;19.11;51.92;13.43;25.86;70.12;38.1;6.67;7.16;21.02;17.01;
Malmö;2017;47.16;39.82;21.2;21.7;9.84;11.24;16.92;12.84;31.04;51.69;25.74;36.51;80.95;1.88;13.75;11.81;22.01;47.13;53;61.9;42.2;78.14;47.5;38.79;13.06;10.03;6.83;5.52;13.95;20.67;49.83;14.14;28.37;70.05;36.67;5.29;6.74;22.66;18.44;
Malmö;2016_2;43.3;41.31;20.94;21.57;8.34;9.93;17.42;11.99;28.48;49.56;24.59;32.68;79.61;2.01;13.33;10.63;21.13;45.33;52.18;61.42;40.77;77;49.6;36.22;13.2;8.27;6.44;4.26;11.66;17.99;46.12;14.9;32.3;68.84;40.35;5.64;5.66;;;
